search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,location_detail,salary,deadline
HR매니저,(주)엠제이플렉스,[금요일 4시퇴근] HR사업본부 HR매니저(관리팀) 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49478430&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:40:43,서울,경력무관,학력무관,정규직,"(주)엠제이플렉스, [금요일 4시퇴근] HR사업본부 HR매니저(관리팀) 정규직 채용, 경력:경력무관, 학력:학력무관, 연봉:3,200 만원, 마감일:2024-12-27, 홈페이지:www.mjplex.co.kr","[""아웃소싱"", "" 서치펌"", "" 헤드헌팅"", "" 파견대행"", "" 인사·노무·HRD"", "" 기획·전략"", "" 영업·판매·무역"", "" 마케팅·홍보·조사"", "" 시설관리·경비·용역""]",서울 구로구,3200만원,2024-12-27
HR매니저,(주)엠제이플렉스,[금요일 4시퇴근] HR사업본부 HR매니저(채용팀) 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49478394&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:40:44,서울,경력무관,학력무관,정규직,"(주)엠제이플렉스, [금요일 4시퇴근] HR사업본부 HR매니저(채용팀) 정규직 채용, 경력:경력무관, 학력:학력무관, 연봉:3,200 만원, 마감일:2024-12-27, 홈페이지:www.mjplex.co.kr","[""아웃소싱"", "" 서치펌"", "" 헤드헌팅"", "" 파견대행"", "" 인사·노무·HRD"", "" 기획·전략"", "" 영업·판매·무역"", "" 마케팅·홍보·조사"", "" 시설관리·경비·용역""]",서울 구로구,3200만원,2024-12-27
HR매니저,(주)닥터다이어리,경영지원팀 HR매니저 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49452623&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:40:45,서울,경력2년↑,고졸↑,정규직,"(주)닥터다이어리, 경영지원팀 HR매니저 채용, 경력:경력 2년 이상, 학력:고등학교졸업이상, 면접 후 결정, 마감일:2024-12-21, 홈페이지:www.drdiary.co.kr","[""시각디자인"", "" 기획·전략"", "" 인사·노무·HRD"", "" 디자인·설계""]",서울 강남구,협의 후 결정,2024-12-21
HR매니저,월급쟁이부자들(주),HR매니저 (인턴),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49461697&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:40:46,서울,경력무관,학력무관,정규직·인턴직,"월급쟁이부자들(주), HR매니저 (인턴), 경력:경력무관, 학력:학력무관, 면접 후 결정, 마감일:2024-12-15, 홈페이지:https://career.weolbu.com","[""직업전문학교"", "" 인사·노무·HRD"", "" 전문·기능학원""]",서울 서초구,협의 후 결정,2024-12-15
HR매니저,에이피써치,HR매니저 실무 인사전반 HRM 외국계화학회사,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49460061&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:40:47,서울,경력10년↑,대졸↑,정규직,"에이피써치, HR매니저 실무 인사전반 HRM 외국계화학회사, 경력:경력 10년 이상, 학력:대학교졸업(4년)이상, 면접 후 결정, 마감일:2024-12-10, 홈페이지:www.apsearch.co.kr","[""헤드헌팅"", "" 인사·노무·HRD"", "" 시설관리·경비·용역""]",서울 강남구,협의 후 결정,2024-12-10
HR매니저,트리플콤마(주),HR 매니저,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49316618&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:40:48,서울,신입·경력,대졸↑,정규직,"트리플콤마(주), HR 매니저, 경력:신입/경력, 학력:대학교졸업(4년)이상, 면접 후 결정, 마감일:2024-12-31, 홈페이지:http://goldspoon.co","[""커뮤니티"", "" 인사·노무·HRD"", "" 총무·법무·사무"", "" 포털·인터넷·컨텐츠""]",서울 강남구,협의 후 결정,2024-12-31
HR매니저,(주)마루에이치알,[영등포/문래] 마루HR 본사 잡매니저 정규직 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49393090&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:40:49,서울,경력무관,학력무관,정규직,"(주)마루에이치알, [영등포/문래] 마루HR 본사 잡매니저 정규직 신입/경력 채용, 경력:경력무관, 학력:학력무관, 면접 후 결정, 마감일:2024-12-13, 홈페이지:www.mrhr.co.kr","[""아웃소싱"", "" 서치펌"", "" 헤드헌팅"", "" 파견대행"", "" 인사·노무·HRD"", "" 시설관리·경비·용역""]",서울 영등포구,협의 후 결정,2024-12-13
HR매니저,(주)마루에이치알,[영등포/문래] 마루HR 본사 경력직 잡매니저 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49521932&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:40:50,서울,경력 2~10년,학력무관,정규직,"(주)마루에이치알, [영등포/문래] 마루HR 본사 경력직 잡매니저 채용, 경력:경력 2~10년, 학력:학력무관, 면접 후 결정, 마감일:2025-01-02, 홈페이지:www.mrhr.co.kr","[""아웃소싱"", "" 서치펌"", "" 헤드헌팅"", "" 파견대행"", "" 인사·노무·HRD"", "" 시설관리·경비·용역""]",서울 영등포구,협의 후 결정,2025-01-02
HR매니저,스탭스(주),[스탭스(주) 본사]HR사업지원본부 잡매니저 채용(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49437796&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:40:51,서울,경력1년↑,초대졸↑,정규직,"스탭스(주), [스탭스(주) 본사]HR사업지원본부 잡매니저 채용(경력), 경력:경력 1년 이상, 학력:대학졸업(2,3년)이상, 면접 후 결정, 마감일:2024-12-20, 홈페이지:www.staffs.co.kr","[""아웃소싱"", "" 헤드헌팅"", "" 파견대행"", "" 총무·법무·사무"", "" 인사·노무·HRD"", "" 고객상담·TM"", "" 시설관리·경비·용역""]",서울 중구,협의 후 결정,2024-12-20
HR매니저,(주)잡위드,[역삼동/HR전문기업] 잡매니저(인사노무관리) 관리자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49531036&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:40:52,서울,경력무관,초대졸↑,정규직,"(주)잡위드, [역삼동/HR전문기업] 잡매니저(인사노무관리) 관리자 모집, 경력:경력무관, 학력:대학졸업(2,3년)이상, 면접 후 결정, 마감일:2025-01-04, 홈페이지:www.jobwith.co.kr","[""아웃소싱"", "" 인사·노무·HRD"", "" 시설관리·경비·용역""]",서울 강남구,협의 후 결정,2025-01-04
HR매니저,동호에이치알(주),[학동역/연봉협의] 동호HR 잡매니저 (신입/경력) 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49388411&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:40:53,서울,경력무관,초대졸↑,정규직,"동호에이치알(주), [학동역/연봉협의] 동호HR 잡매니저 (신입/경력) 정규직 채용, 경력:경력무관, 학력:대학졸업(2,3년)이상, 면접 후 결정, 마감일:2024-12-12, 홈페이지:","[""용역업체"", "" 아웃소싱"", "" 서치펌"", "" 헤드헌팅"", "" 파견대행"", "" 인사·노무·HRD"", "" 총무·법무·사무"", "" 고객상담·TM"", "" 시설관리·경비·용역""]",서울 강남구,[학동역/협의]동호HR잡매니저(신입/경력)정규직채용,2024-12-12
HR매니저,(주)코리아인에이치알,HR팀 잡매니저 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49419216&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:40:54,서울,경력무관,고졸↑,정규직,"(주)코리아인에이치알, HR팀 잡매니저 신입/경력 채용, 경력:경력무관, 학력:고등학교졸업이상, 면접 후 결정, 마감일:2024-12-15, 홈페이지:www.korea-in.co.kr","[""아웃소싱"", "" 서치펌"", "" 헤드헌팅"", "" 파견대행"", "" 기획·전략"", "" 회계·세무·재무"", "" 인사·노무·HRD"", "" 총무·법무·사무"", "" 고객상담·TM"", "" 시설관리·경비·용역""]",서울 금천구,협의 후 결정,2024-12-15
HR매니저,(주)우림엠에스,[영등포구청] 본사HR 잡매니저 정규직 채용 / 사원~대리,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49526497&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:40:55,서울,경력무관,초대졸↑,정규직,"(주)우림엠에스, [영등포구청] 본사HR 잡매니저 정규직 채용 / 사원~대리, 경력:경력무관, 학력:대학졸업(2,3년)이상, 면접 후 결정, 마감일:2025-01-03, 홈페이지:http://www.woo-lim.co.kr","[""아웃소싱"", "" 인사·노무·HRD"", "" 시설관리·경비·용역""]",서울 영등포구,협의 후 결정,2025-01-03
HR매니저,(주)투비파트너즈,(가전 및 생활용품 기업) HR 매니저(미국 현지법인) 담당,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49517381&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:40:56,미국,경력7년↑,대졸↑,정규직,"(주)투비파트너즈, (가전 및 생활용품 기업) HR 매니저(미국 현지법인) 담당, 경력:경력 7년 이상, 학력:대학교졸업(4년)이상, 면접 후 결정, 마감일:2024-12-11, 홈페이지:tbps.co.kr","[""헤드헌팅"", "" 인사·노무·HRD"", "" 시설관리·경비·용역""]",미국,협의 후 결정,2024-12-11
HR매니저,세무법인프라이어,HR(인사/총무) 매니저 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49233016&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:40:57,서울,경력5년↑,대졸↑,정규직,"세무법인프라이어, HR(인사/총무) 매니저 채용, 경력:경력 5년 이상, 학력:대학교졸업(4년)이상, 면접 후 결정, 마감일:2024-12-18, 홈페이지:prior.co.kr","[""세무법인"", "" 인사·노무·HRD"", "" 총무·법무·사무"", "" 세무·회계""]",서울 강남구,협의 후 결정,2024-12-18
HR매니저,(주)미밍,HR 매니저 채용(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49402845&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:40:58,서울,경력 2~7년,고졸↑,정규직,"(주)미밍, HR 매니저 채용(경력), 경력:경력 2~7년, 학력:고등학교졸업이상, 면접 후 결정, 마감일:2024-12-13, 홈페이지:www.miming.kr","["""", "" 회계·세무·재무"", "" 인사·노무·HRD"", "" 판매(상품품목별)""]",서울 서초구,협의 후 결정,2024-12-13
HR매니저,캐리랩,[피부과 상담실장 or 총괄실장 출신 환영] 병원 HR 매니저 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49439136&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:40:59,서울,경력2년↑,학력무관,정규직,"캐리랩, [피부과 상담실장 or 총괄실장 출신 환영] 병원 HR 매니저 채용, 경력:경력 2년 이상, 학력:학력무관, 면접 후 결정, 마감일:채용시, 홈페이지:","[""광고대행사"", "" 인사·노무·HRD"", "" 광고·홍보·전시""]",서울 서초구,협의 후 결정,채용시
HR매니저,다음컴퍼니,HR 아웃소싱 잡매니저 영업관리팀 사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49402815&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:41:00,경기,경력무관,고졸↑,정규직,"다음컴퍼니, HR 아웃소싱 잡매니저 영업관리팀 사원 모집, 경력:경력무관, 학력:고등학교졸업이상, 연봉:3,800 만원, 마감일:채용시, 홈페이지:","[""아웃소싱"", "" 헤드헌팅"", "" 파견대행"", "" 인사·노무·HRD"", "" 시설관리·경비·용역""]",경기 오산시,3800만원,채용시
HR매니저,굿커리어,[외국계 기업] 인사 HR C&B 매니저 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49463303&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:41:01,서울,경력 9~20년,대졸↑,정규직,"굿커리어, [외국계 기업] 인사 HR C&B 매니저 채용, 경력:경력 9~20년, 학력:대학교졸업(4년)이상, 면접 후 결정, 마감일:2024-12-10, 홈페이지:www.goodcareer.co.kr","[""의류·의상"", "" 패션"", "" 남성의류"", "" 여성의류"", "" 유아의류"", "" 인사·노무·HRD"", "" 섬유·의류·패션""]",서울 강남구,협의 후 결정,2024-12-10
HR매니저,(주)하이스트컨설팅그룹,고속성장 중인 디지털 커머스기업 HR 매니저 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49521709&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:41:02,서울,경력7년↑,대졸↑,정규직·계약직,"(주)하이스트컨설팅그룹, 고속성장 중인 디지털 커머스기업 HR 매니저 채용, 경력:경력 7년 이상, 학력:대학교졸업(4년)이상, 면접 후 결정, 마감일:2024-12-18, 홈페이지:highestconsulting.com/","[""홍보대행사"", "" 인사·노무·HRD"", "" 광고·홍보·전시""]",서울 구로구,협의 후 결정,2024-12-18
HR매니저,(주)인플루디오,[포카마켓] HR/총무 파트 매니저,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49534750&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:41:03,서울,경력무관,학력무관,정규직,"(주)인플루디오, [포카마켓] HR/총무 파트 매니저, 경력:경력무관, 학력:학력무관, 면접 후 결정, 마감일:채용시, 홈페이지:infludeo.com","[""종합포털"", "" 총무·법무·사무"", "" 포털·인터넷·컨텐츠""]",서울 마포구,협의 후 결정,채용시
HR매니저,(주)씨아이템프러리,문래역-씨아이템프러리 본사 잡매니저(HR팀) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49411657&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:41:08,서울,신입,학력무관,정규직,"(주)씨아이템프러리, 문래역-씨아이템프러리 본사 잡매니저(HR팀) 채용, 경력:신입, 학력:학력무관, 면접 후 결정, 마감일:2024-12-15, 홈페이지:www.citemp.co.kr","[""아웃소싱"", "" 서치펌"", "" 헤드헌팅"", "" 파견대행"", "" 총무·법무·사무"", "" 인사·노무·HRD"", "" 시설관리·경비·용역""]",서울 영등포구,협의 후 결정,2024-12-15
HR매니저,(주)씨아이템프러리,[정규직/문래역] 씨아이템프러리 본사 잡매니저(HR팀) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49440476&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:41:09,서울,신입,학력무관,정규직,"(주)씨아이템프러리, [정규직/문래역] 씨아이템프러리 본사 잡매니저(HR팀) 채용, 경력:신입, 학력:학력무관, 면접 후 결정, 마감일:2024-12-20, 홈페이지:www.citemp.co.kr","[""아웃소싱"", "" 서치펌"", "" 헤드헌팅"", "" 파견대행"", "" 총무·법무·사무"", "" 인사·노무·HRD"", "" 시설관리·경비·용역""]",서울 영등포구,협의 후 결정,2024-12-20
HR매니저,(주)씨아이템프러리,[정규직] 씨아이템프러리 본사 잡매니저(HR팀/인사/채용) 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49453032&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:41:10,서울,신입,학력무관,정규직,"(주)씨아이템프러리, [정규직] 씨아이템프러리 본사 잡매니저(HR팀/인사/채용) 모집, 경력:신입, 학력:학력무관, 면접 후 결정, 마감일:2024-12-22, 홈페이지:www.citemp.co.kr","[""아웃소싱"", "" 서치펌"", "" 헤드헌팅"", "" 파견대행"", "" 총무·법무·사무"", "" 인사·노무·HRD"", "" 시설관리·경비·용역""]",서울 영등포구,협의 후 결정,2024-12-22
HR매니저,(주)인퍼블릭,[군포/3400만] 인퍼블릭 본사 아웃소싱 잡매니저 (HR인사) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49404590&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:41:11,경기,경력무관,학력무관,정규직,"(주)인퍼블릭, [군포/3400만] 인퍼블릭 본사 아웃소싱 잡매니저 (HR인사) 채용, 경력:경력무관, 학력:학력무관, 연봉:3,400 만원, 마감일:2024-12-14, 홈페이지:https://inpublic.kr","[""아웃소싱"", "" 인사·노무·HRD"", "" 총무·법무·사무"", "" 시설관리·경비·용역""]",경기 군포시,3400만원,2024-12-14
HR매니저,(주)아데코코리아,[외국계 데이터센터] HR Manager,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49535151&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:41:12,서울,경력6년↑,대졸↑,정규직,"(주)아데코코리아, [외국계 데이터센터] HR Manager, 경력:경력 6년 이상, 학력:대학교졸업(4년)이상, 면접 후 결정, 마감일:2024-12-20, 홈페이지:www.adecco.co.kr","[""의류매장"", "" 잡화매장"", "" 구두·신발"", "" 인사·노무·HRD"", "" 판매(상품품목별)""]",서울 강남구,협의 후 결정,2024-12-20
