search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
강사,(주)인터비즈시스템,[주5일]LG전자 현장 교육 강사 및 코칭 강사 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49503433&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:55:20,서울전체,경력무관,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,(주)씨앤에이논술,논술강사 국어강사 출판부 상담실 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49478533&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:55:22,서울 강남구,신입·경력,대졸↑,정규직·위촉직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,(주)이언에듀케이션,초중고 영어전임강사 & 교육지원(행정) 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=48408184&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:55:26,경기 수원시 영통구,신입·경력,대졸↑,정규직·전임,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,잉클링스어학원,서초구 초등영어학원 교포 전임강사 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49538653&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:55:29,서울 서초구,경력2년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,(주)타임교육,[신입/경력]강사/학생용 소프트웨어 자바 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49536929&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:55:33,서울 강남구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,(주)크레버스,청담어학원 고급 독해 수업담당 강사 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49516998&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:55:36,서울 강남구,신입·경력,대졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,(주)크레버스,CREVERSE 수학 강사 채용(초등&중고등),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49518273&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:55:39,서울 강남구,신입·경력,대졸↑,위촉직·프리랜서,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,(주)외대어학연구소,[한국외대 HIFS 어학원] 초등어학원 전임/파트 강사 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49128137&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:55:42,경기 용인시 처인구,경력,대졸↑,파트·전임,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,(주)크라우드웍스,[크라우드아카데미] AI 전문 파트너 강사 & AI 기술코치 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49476409&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:55:46,서울 강남구,경력무관,초대졸↑,프리랜서,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,(주)한국교육평가원,[강사모집] 온라인 촬영 강사님을 모집합니다.(교육지도 과정),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49280926&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:55:50,서울 금천구,경력무관,대졸↑,위촉직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,(주)케이엔에스에듀,중고등부 영어강사 모집(수능.내신. 토플.텝스),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49410846&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:55:54,서울 강남구,신입·경력,대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,(주)이트리즈과사람학원,[이트리즈과사람학원] 초등사고력/초등교과수학 강사/CS 직원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49517245&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:55:57,부산 동래구,신입·경력,대졸↑,정규직·파트,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,(주)이트리즈과사람학원,[이트리즈과사람학원] 중·고등관 수학/과학강사/CS 직원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49517211&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:56:01,부산 동래구,신입·경력,대졸↑,정규직·파트,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,(주)에이치피이에듀,헤럴드어학원  영어강사(신입/경력직) 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49535624&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:56:04,부산 해운대구,경력무관,대졸↑,정규직·파트,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,(주)일공일랩,[재택/프리랜서] 비대면 영어교육 프로그램 강사님 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49403547&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:56:08,서울 송파구,경력무관,학력무관,프리랜서,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,(주)주니어보노,유치+초등부 어학원 영어 강사님 모십니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49516866&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:56:12,대구 수성구,경력2년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,(사)대한안전교육협회,대한안전교육협회 강사 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49454619&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:56:16,경기 안양시 동안구,경력 2~6년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,강서대학교,[강서대학교] 국제교육교류원 한국어강사 모집 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49511562&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:56:20,서울 강서구,경력,석사↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,(주)천지인아카데미,2025년 학기 유치&초등 전임강사(1월6일시작),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49531296&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:56:24,서울 영등포구,경력1년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,세종한국어학원(싱가포르),"싱가포르, 한국어 강사 채용, 경력무관 (숙소, 트레이닝 제공)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49483247&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:56:27,아시아·중동 싱가포르,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,사단법인희망조약돌,[희망조약돌] [안양본사] NGO 하반기 교육 강사 채용(강연 진행),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49498002&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:56:30,경기 안양시 동안구,경력무관,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,시립성북청소년센터,2025년 학교 연계 및 청소년 활동 프로그램 강사 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49504295&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:56:32,서울 성북구,경력무관,학력무관,프리랜서,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,학문당입시학원,[학문당 임팩트영어학원] 중등영어 강사모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49537349&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:56:36,대구 수성구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,부경대학교,2025 나가사키현립 대마도고등학교 한국어강사 추천자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49529107&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:56:41,일본,경력무관,대졸↑,기간제·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,(주)나교수어학원,[신촌 나교수어학원] 영어강사 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49358575&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:56:45,서울 마포구,경력무관,대졸↑,파트·전임,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,(주)윤소정 어학원,어학원 경력직 강사 / 해운대구 중동 / 초중 영어전문,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49502065&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:56:48,부산 해운대구,경력3년↑,대졸↑,프리랜서,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,롤링코리아,[롤링코리아] 외국인대상 한국어강사 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49523180&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:56:51,서울 마포구,경력무관,초대졸↑,프리랜서,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,건설기초안전교육(주),건설업기초안전보건교육 보건강사 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49520962&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:56:55,대전 유성구,경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,(사)중대안전보건예방협회,직무교육 보건관리자 강사님 구인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49534529&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:56:58,서울 금천구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,가나다한국어학원,뜻있는 한국어 강사를 모집합니다[가나다한국어학원],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49524970&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:57:02,서울 마포구,경력무관,대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,(주)국풀교육,[기파랑문해원 직영점] 초등 / 중등 국어 강사 추가 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49503491&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:57:05,서울 송파구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,(주)제이엘에스에듀,[수원/파주운정] 초·중등영어강사/교수팀장/행정·상담실장 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49423884&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:57:08,경기 수원시 장안구,신입·경력,대졸↑,정규직·파트,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,(주)에이치엔젤,대치에이프릴어학원 영어강사모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49516492&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:57:11,서울 강남구,경력무관,대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,(주)월드조이,"2025 유치 초등어학원강사, 영어, 영어회화 경력직 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49532115&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:57:15,경기 화성시,경력1년↑,대졸↑,파트·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,서울기업교육협회,2024년 법정의무교육 CS강사 신입 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=48465017&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:57:20,서울 영등포구,신입,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,박하 영어학원,"2025년 중등영어강사 모집,주4일근무(월,화,목,금),오후4시~10시",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49518919&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:57:24,대구 달서구,경력무관,초대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,목동문예창작학원,문예창작(시·소설) 강사 모집 [정규직·주4일·연봉 4000 이상],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49512965&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:57:26,서울 양천구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,케이제이 국제어학당,초/중등 영어강사(대형 어학원/장기근속자 우대),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49329347&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:57:31,부산 금정구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
강사,서울특별시립보라매청소년센터,2025년 보라매청소년센터 전문 프로그램 강사 모집 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49483967&location=ts&searchword=%EA%B0%95%EC%82%AC&searchType=search&paid_fl=n&search_uuid=7fc1b5b2-b8da-45c7-993d-dc0fa9f09fc2,2024-12-07 22:57:35,서울 동작구,경력무관,고졸↑,파트,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
